mass	mf
172.18271	C11H24O
173.01466	C6H7NO3S
173.04365	C5H7N3O4
173.04682	C5H8ClN5
173.04768	C10H7NO2
173.0688	C7H11NO4
173.08004	C6H11N3O3
173.08406	C11H11NO
173.10519	C8H15NO3
173.11642	C7H15N3O2
173.12044	C12H15N
173.12765	C6H15N5O
173.14157	C9H19NO2
173.97199	C6H3ClO4
173.99868	C6H6O4S
174.0082	C6H7O4P
174.01508	C7H7FO2S
174.01644	C6H6O6
174.03169	C10H6O3
174.03284	C7H7FO4
174.05282	C7H10O5
174.05599	C7H11ClN2O
174.06405	C6H10N2O4
174.06808	C11H10O2
174.07931	C10H10N2O
174.0892	C8H14O4
174.10044	C7H14N2O3
174.10446	C12H14O
174.11167	C6H14N4O2
174.11569	C11H14N2
174.12559	C9H18O3
174.13682	C8H18N2O2
174.18444	C8H22N4
175.01033	C6H6FNO2S
175.02694	C9H5NO3
175.03573	C6H4F3N3
175.04807	C6H9NO5
175.04941	C7H5N5O
175.0593	C5H9N3O4
175.06333	C10H9NO2
175.07456	C9H9N3O
175.08445	C7H13NO4
175.08579	C8H9N5
175.09569	C6H13N3O3
175.11094	C10H13N3
175.13609	C12H17N
175.95625	C4H7Cl3O
175.96396	CH6O6P2
175.98764	C6H5ClO4
176.03209	C6H8O6
176.04082	C9H8N2S
176.04332	C5H8N2O5
176.04734	C10H8O3
176.05455	C4H8N4O4
176.05857	C9H8N2O2
176.06847	C7H12O5
176.08373	C11H12O2
176.0871	C8H16O2S
176.09094	C5H12N4O3
176.09496	C10H12N2O
176.10485	C8H16O4
176.11609	C7H16N2O3
176.13134	C11H16N2
176.94254	C4H4BrNO2
177.0282	C6H11NOS2
177.03607	C8H7N3S
177.04596	C6H11NO3S
177.05382	C8H7N3O2
177.06372	C6H11NO5
177.07495	C5H11N3O4
177.07897	C10H11NO2
177.09021	C9H11N3O
177.1001	C7H15NO4
177.11536	C11H15NO
177.12659	C10H15N3
177.94323	H4O7P2
177.95883	C6H4Cl2O2
177.98085	C4H3ClF4O
178.01222	C6H10O2S2
178.01452	C5H7ClN2O3
178.02598	C8H7BO2S
178.02661	C9H6O4
178.02977	C9H7ClN2
178.03132	C7H6N4S
178.04121	C5H10N2O3S
178.04774	C6H10O6
